date,product,category,quantity,price,revenue,customer_id,region
2024-01-01,Laptop,Electronics,5,1200,6000,C001,North
2024-01-02,Mouse,Electronics,15,25,375,C002,South
2024-01-03,Keyboard,Electronics,10,75,750,C003,East
2024-01-04,Monitor,Electronics,8,300,2400,C004,West
2024-01-05,Laptop,Electronics,3,1200,3600,C005,North
2024-01-06,Desk,Furniture,7,450,3150,C006,South
2024-01-07,Chair,Furniture,12,200,2400,C007,East
2024-01-08,Mouse,Electronics,20,25,500,C008,West
2024-01-09,Laptop,Electronics,6,1200,7200,C009,North
2024-01-10,Bookshelf,Furniture,4,350,1400,C010,South
2024-01-11,Keyboard,Electronics,18,75,1350,C011,East
2024-01-12,Monitor,Electronics,9,300,2700,C012,West
2024-01-13,Desk,Furniture,5,450,2250,C013,North
2024-01-14,Chair,Furniture,15,200,3000,C014,South
2024-01-15,Laptop,Electronics,4,1200,4800,C015,East
2024-01-16,Mouse,Electronics,25,25,625,C016,West
2024-01-17,Keyboard,Electronics,12,75,900,C017,North
2024-01-18,Bookshelf,Furniture,6,350,2100,C018,South
2024-01-19,Monitor,Electronics,7,300,2100,C019,East
2024-01-20,Desk,Furniture,8,450,3600,C020,West
2024-01-21,Chair,Furniture,10,200,2000,C021,North
2024-01-22,Laptop,Electronics,5,1200,6000,C022,South
2024-01-23,Mouse,Electronics,30,25,750,C023,East
2024-01-24,Keyboard,Electronics,14,75,1050,C024,West
2024-01-25,Monitor,Electronics,11,300,3300,C025,North
2024-01-26,Bookshelf,Furniture,5,350,1750,C026,South
2024-01-27,Desk,Furniture,6,450,2700,C027,East
2024-01-28,Chair,Furniture,18,200,3600,C028,West
2024-01-29,Laptop,Electronics,7,1200,8400,C029,North
2024-01-30,Mouse,Electronics,22,25,550,C030,South
2024-02-01,Keyboard,Electronics,16,75,1200,C031,East
2024-02-02,Monitor,Electronics,10,300,3000,C032,West
2024-02-03,Desk,Furniture,9,450,4050,C033,North
2024-02-04,Chair,Furniture,14,200,2800,C034,South
2024-02-05,Laptop,Electronics,8,1200,9600,C035,East
2024-02-06,Bookshelf,Furniture,7,350,2450,C036,West
2024-02-07,Mouse,Electronics,28,25,700,C037,North
2024-02-08,Keyboard,Electronics,19,75,1425,C038,South
2024-02-09,Monitor,Electronics,12,300,3600,C039,East
2024-02-10,Desk,Furniture,10,450,4500,C040,West
2024-02-11,Chair,Furniture,16,200,3200,C041,North
2024-02-12,Laptop,Electronics,9,1200,10800,C042,South
2024-02-13,Mouse,Electronics,24,25,600,C043,East
2024-02-14,Keyboard,Electronics,17,75,1275,C044,West
2024-02-15,Bookshelf,Furniture,8,350,2800,C045,North
2024-02-16,Monitor,Electronics,13,300,3900,C046,South
2024-02-17,Desk,Furniture,11,450,4950,C047,East
2024-02-18,Chair,Furniture,20,200,4000,C048,West
2024-02-19,Laptop,Electronics,10,1200,12000,C049,North
2024-02-20,Mouse,Electronics,26,25,650,C050,South

